rg_id,rg_title,imdb_id,primary_type
a816c6ae-b4e3-3e38-9115-a391b347c629,My Girl: Original Motion Picture Soundtrack,tt0102492,Album
94e207a9-5585-36fd-b881-24dec0ea9a5c,"Paris, Texas",tt0087884,Album
725b919f-9877-3609-a1e0-e42e49a0d6de,"Shoot Loud, Louder. . . I Don't Understand",tt0061008,Album
2f50626a-55cc-39f4-8a7f-5e954a03716f,Evil Under the Sun,tt0083908,Album
9d3ca5c4-e44f-3c0d-adc3-35906f35ff2e,The Taming of the Shrew,tt0061407,Album
aab06834-123d-3f83-86f3-aab78c90589e,Drammi gotici,tt0206697,Album
53e0c25f-8422-349f-8c16-ba46ad0943bd,Dark Eyes,tt0093664,Album
1c144c44-18be-35d7-88bc-65c994a07866,12 Monkeys,tt0114746,Album
b06e4399-fddf-34f4-a2f4-6511727dff23,"Silk Road, Volume 2",tt1024812,Album
2fd0a042-8c07-3c57-9189-d158e0c1cde1,COWBOY BEBOP,tt0213338,Album
0847782f-6cbe-3890-84ab-f7a345676e5e,"Crouching Tiger, Hidden Dragon",tt0190332,Album
79fabf34-8e79-380d-968a-834d37d1b082,Night of the Comet: Original Soundtrack,tt0087799,Album
37cf183c-6edd-30c0-a935-46983c447657,Batman,tt0096895,Album
85f8acca-aec1-3910-9b9c-a8c883d6a2d3,Dracula,tt0021814,Album
9b1663f6-1adb-377e-93f6-983380fa4ccf,Cal,tt0087019,Album
c94229ca-d72e-3c32-b6ab-824ac68c2d4a,Jazz Impressions of “A Boy Named Charlie Brown”,tt0273476,Album
11571abc-a9a9-38d7-b6e9-5cad850ceada,Local Hero,tt0085859,Album
ee822d5f-8b21-32dc-a791-9d0b47d802cd,Olivier Olivier / Europa Europa,tt0102583,Album
608b283c-3dd1-39a4-85ae-31bb35bffc86,Hope Floats,tt0119313,Album
61cb81de-fc03-3437-8ba0-216730ff9c03,Grease: The Original Soundtrack From the Motion Picture,tt0077631,Album
29ed1113-e849-3b7c-a92f-f79d1402e5b5,St. Patrick: The Irish Legend,tt0202595,Album
f3a5055b-8bd0-3028-9339-5e1b12b60529,Coyote Ugly,tt0200550,Album
558b43c2-736b-352f-b83b-d30536750ff1,Un Cœur en Hiver (Trio & Sonates),tt0105682,Album
5467a864-e458-3cbe-89fb-214a8935e8f6,Stanley Kubrick’s Clockwork Orange,tt0066921,Album
f22504e6-3b8a-3d04-a1c5-2d1caaf2ffeb,Cool Runnings: Music From the Motion Picture,tt0106611,Album
ad913c76-9a6d-35ab-a121-00e468936497,Men in Black: The Album,tt0119654,Album
c296ef6c-e12e-33cb-b10a-f4049bb864cd,Hackers,tt0113243,Album
22930c82-a7f3-33f7-a3eb-3c24e6da5f26,Mission: Impossible: Music From the Original Motion Picture Score,tt0117060,Album
54aaed01-a7b8-3ece-b55d-3ef50f628e1d,Velvet Goldmine,tt0120879,Album
382636b5-8b7b-3bfb-ab68-7a61fa2ba566,Magnolia,tt0175880,Album
72ce3aa9-8c69-3b12-b29f-e929685d4429,Trainspotting,tt0117951,Album
e5b96d62-1414-337b-b0c3-28a6c5d5b65a,Koyaanisqatsi,tt0085809,Album
c7d121ad-3fc5-318c-b5c1-925fb317c9f2,End of Days,tt0146675,Album
53ae0c76-3483-371c-8255-ee7df1aa20c3,Trois couleurs : Bleu,tt0108394,Album
d310d31c-476e-3c4c-b3da-23ad350b0256,From Dusk Till Dawn: Music From the Motion Picture,tt0116367,Album
75fd0056-8e0a-3cdd-b660-25dfa32ad7cf,Titan A.E.,tt0120913,Album
f74d14d1-48e8-38a2-b248-24fce5bb90c5,Stepmom,tt0120686,Album
82089ad3-f326-312d-b118-ea3039bca12f,Where the Heart Is,tt0198021,Album
a8e66d45-6d59-31fc-bb1f-0e8106b8049c,Hommage à Noir,tt0266632,Album
31282312-db92-38cd-93d7-87b512fab4ef,Music From FFV and FFVI Video Games,tt0388943,Album
3217bda4-4430-325e-b2ca-388fa6c45285,The Sore Losers,tt0120167,Album
69751ef0-8594-358d-8220-4b6deb9d2a6f,Kill the Moonlight,tt0497630,Album
87b9eebf-0833-30b4-bc67-489021e8c281,Thirty Two Short Films About Glenn Gould: The Sound of Genius,tt0108328,Album
e35da2d6-42e5-35c4-9c52-7617a4d2d20e,Trainspotting #2,tt0117951,Album
478479dc-513a-385a-b214-fa1bc7e8794b,Road House,tt0098206,Album
7e9327e5-a90c-3a40-8bcb-4ec64c1c6b81,Teenage Mutant Ninja Turtles III: Original Motion Picture Soundtrack,tt0108308,Album
bd758b30-012d-3812-bc9f-7e1c2dffa9f3,The Hunt for Red October,tt0099810,Album
fd736f7b-fa76-303a-bb08-bc32d47d6018,Patton / Tora! Tora! Tora!,tt0066206,Album
08411cd0-fb25-30a8-91ff-a4a1540f132a,The Talented Mr. Ripley,tt0134119,Album
47a50465-3e12-3bd5-94b6-cfd0f68554bf,Moulin Rouge!,tt0203009,Album
0e4a3976-88b2-3eb2-beff-5c2fe65d0838,Being John Malkovich,tt0120601,Album
9908e569-3bdf-3000-944b-9ea355fb47c5,More Music from Northern Exposure,tt0098878,Album
7ed66ef1-e862-309b-afad-5e5a8341029c,Sling Blade: Music From the Miramax Motion Picture,tt0117666,Album
9e08349d-3da3-39b8-9826-0bbb08d72aa9,A Low Down Dirty Shame,tt0110399,Album
534ba4be-4f8b-3fa6-bda7-cb4010c62eb4,Music From and Inspired by Shaft,tt0162650,Album
524c7036-fcd1-3e07-a7e3-37e53af71fe3,Julie / Chalte Chalte,tt0187192,Album
86411970-9d88-3394-b167-51f41dd5eadc,Opera sauvage,tt0079673,Album
2e37617a-621a-3d83-bc13-ce28552733d3,Eyes Wide Shut: Music From the Motion Picture,tt0120663,Album
3c7e3cd3-2282-3259-a314-0d21c1a16adc,When Harry Met Sally…,tt0098635,Album
9448df51-2f58-37cb-b4b7-885da1c7042d,The Buddha of Suburbia,tt0105963,Album
